,Date,Open,High,Low,Close,Volume,Name,Pct Returns
67,8/15/2023,141.5,142.31,141.2,141.87,3656559,IBM,0.874573379
68,8/14/2023,143.05,143.365,141.802,141.91,4226563,IBM,0.028194826
69,8/11/2023,143.12,143.45,142.205,143.12,2526433,IBM,0.85265309
70,8/10/2023,143.04,144.58,142.69,143.25,4735763,IBM,0.090832868
71,8/9/2023,144.94,144.94,142.3,142.49,4073038,IBM,-0.530541012
72,8/8/2023,145.7,146.15,144.11,145.91,4654582,IBM,2.400168433
73,8/7/2023,145,146.5,144.93,146.18,3438654,IBM,0.185045576
74,8/4/2023,145.09,146.09,143.99,144.24,4223204,IBM,-1.327130934
75,8/3/2023,143.78,145.22,143.3116,144.45,3952640,IBM,0.145590682
76,8/2/2023,142.78,144.3,142.31,144.17,4959381,IBM,-0.193838699
77,8/1/2023,144.25,144.48,142.17,143.33,4798703,IBM,-0.582645488
78,7/31/2023,143.81,144.605,143.53,144.18,6138902,IBM,0.593037047
79,7/28/2023,143.44,143.95,142.85,143.45,6686627,IBM,-0.506311555
80,7/27/2023,142.3,143.38,141.9,142.97,6331563,IBM,-0.334611363
81,7/26/2023,140.44,141.25,139.88,141.07,4046441,IBM,-1.328950129
82,7/25/2023,139.42,140.43,139.0403,140.33,3770813,IBM,-0.524562274
83,7/24/2023,139.35,140.12,138.7788,139.54,3475442,IBM,-0.56295874
84,7/21/2023,138.21,139.7799,137.76,138.94,5858741,IBM,-0.429984234
85,7/20/2023,137.19,140.32,136.56,138.38,10896330,IBM,-0.403051677
86,7/19/2023,135.53,136.45,135.19,135.48,5519992,IBM,-2.095678566
87,7/18/2023,134.71,135.95,134.29,135.36,3852058,IBM,-0.088573959
88,7/17/2023,133.26,134.61,133.1,134.24,3168419,IBM,-0.827423168
89,7/14/2023,133.91,133.92,132.94,133.4,2861496,IBM,-0.625744934
90,7/13/2023,133.51,135.07,133.36,133.92,3221422,IBM,0.389805097
91,7/12/2023,135.07,135.33,132.575,132.84,3732189,IBM,-0.806451613
92,7/11/2023,133.66,134.56,133.23,134.44,2925238,IBM,1.204456489
93,7/10/2023,131.76,133.05,131.695,132.9,2369425,IBM,-1.145492413
94,7/7/2023,131.78,133.855,131.75,132.08,2982738,IBM,-0.617005267
95,7/6/2023,133.235,133.9,131.55,132.16,3508083,IBM,0.060569352
96,7/5/2023,133.32,134.31,132.59,134.24,2955870,IBM,1.573849879
97,7/3/2023,133.42,134.35,132.87,133.67,1477149,IBM,-0.424612634
98,6/30/2023,134.69,135.03,133.425,133.81,4236677,IBM,0.104735543
99,6/29/2023,131.75,134.35,131.69,134.06,3639836,IBM,0.186832075
100,6/28/2023,132.06,132.17,130.91,131.76,2753779,IBM,-1.715649709
101,6/27/2023,131.3,132.95,130.83,132.34,3219909,IBM,0.440194293
102,6/26/2023,129.39,131.41,129.31,131.34,4845649,IBM,-0.755629439
103,6/23/2023,130.4,130.62,129.18,129.43,11324705,IBM,-1.454240901
104,6/22/2023,131.68,132.96,130.68,131.17,6013021,IBM,1.344356023
105,6/21/2023,135.11,135.39,133.29,133.69,5501272,IBM,1.921170999
106,6/20/2023,136.36,137.23,135.89,135.96,4272511,IBM,1.697957962
