Date,Open,High,Low,Close,Volume,Name,Pct Returns
2023-09-25,146.57,147.43,146.25,146.48,2694245,IBM,2.2619380061435157
2023-09-22,147.41,148.1,146.82,146.91,2562216,IBM,0.29355543418896346
2023-09-21,149.0,149.25,147.31,147.38,4944786,IBM,0.3199237628479956
2023-09-20,148.36,151.9299,148.13,149.83,9636681,IBM,1.6623693852626076
2023-09-19,145.0,146.72,144.66,146.52,3945423,IBM,-2.209170393112192
2023-09-18,145.77,146.48,145.06,145.09,2508062,IBM,-0.9759759759759845
2023-09-15,147.11,147.85,145.53,145.99,6234033,IBM,0.6203046385002464
2023-09-14,147.38,147.73,146.48,147.35,2723200,IBM,0.9315706555243386
2023-09-13,145.95,146.98,145.92,146.55,2627999,IBM,-0.5429250084831971
2023-09-12,147.92,148.0,145.8,146.3,4457695,IBM,-0.17059024223814445
2023-09-11,148.57,148.78,147.58,148.38,3273720,IBM,1.4217361585782573
2023-09-08,147.35,148.59,147.26,147.68,3722927,IBM,-0.47176169295052306
2023-09-07,148.13,148.78,147.4,147.52,3333040,IBM,-0.10834236186348933
2023-09-06,147.66,148.33,147.12,148.06,2932203,IBM,0.3660520607375206
2023-09-05,147.91,149.0,147.5719,148.13,3731281,IBM,0.04727813048763796
2023-09-01,147.26,148.1,146.92,147.94,2727796,IBM,-0.12826571254979102
2023-08-31,146.94,147.7275,146.54,146.83,3885949,IBM,-0.7503041773691987
2023-08-30,146.42,146.92,145.7452,146.86,2245402,IBM,0.020431791868147364
2023-08-29,146.3,146.73,145.62,146.45,2778113,IBM,-0.2791774479095954
2023-08-28,145.41,146.74,145.21,146.02,3561347,IBM,-0.293615568453387
2023-08-25,144.18,145.47,143.5,145.35,3660147,IBM,-0.4588412546226661
2023-08-24,143.505,144.47,143.22,143.55,2900244,IBM,-1.238390092879249
2023-08-23,141.72,143.475,141.58,143.41,2559083,IBM,-0.09752699407873378
2023-08-22,142.66,143.225,141.3,141.49,3557734,IBM,-1.3388187713548438
2023-08-21,141.42,142.39,141.11,142.28,2937781,IBM,0.5583433458194786
2023-08-18,140.0,141.83,139.76,141.41,3915480,IBM,-0.6114703401743027
2023-08-17,141.01,142.66,140.6,140.66,3742058,IBM,-0.530372675199775
2023-08-16,141.7,142.09,140.56,140.64,3285347,IBM,-0.014218683349931371
2023-08-15,141.5,142.31,141.2,141.87,3656559,IBM,0.8745733788396048
2023-08-14,143.05,143.365,141.802,141.91,4226563,IBM,0.02819482624938363
2023-08-11,143.12,143.45,142.205,143.12,2526433,IBM,0.8526530899866103
2023-08-10,143.04,144.58,142.69,143.25,4735763,IBM,0.09083286752376019
2023-08-09,144.94,144.94,142.3,142.49,4073038,IBM,-0.5305410122164012
2023-08-08,145.7,146.15,144.11,145.91,4654582,IBM,2.4001684328724737
2023-08-07,145.0,146.5,144.93,146.18,3438654,IBM,0.1850455760400216
2023-08-04,145.09,146.09,143.99,144.24,4223204,IBM,-1.32713093446436
2023-08-03,143.78,145.22,143.3116,144.45,3952640,IBM,0.1455906821963282
2023-08-02,142.78,144.3,142.31,144.17,4959381,IBM,-0.19383869851159474
2023-08-01,144.25,144.48,142.17,143.33,4798703,IBM,-0.5826454879655829
2023-07-31,143.81,144.605,143.53,144.18,6138902,IBM,0.5930370473731905
2023-07-28,143.44,143.95,142.85,143.45,6686627,IBM,-0.5063115550007047
2023-07-27,142.3,143.38,141.9,142.97,6331563,IBM,-0.3346113628441949
2023-07-26,140.44,141.25,139.88,141.07,4046441,IBM,-1.3289501293977768
2023-07-25,139.42,140.43,139.0403,140.33,3770813,IBM,-0.5245622740483347
2023-07-24,139.35,140.12,138.7788,139.54,3475442,IBM,-0.5629587401126068
2023-07-21,138.21,139.7799,137.76,138.94,5858741,IBM,-0.42998423391141793
2023-07-20,137.19,140.32,136.56,138.38,10896330,IBM,-0.4030516769828685
2023-07-19,135.53,136.45,135.19,135.48,5519992,IBM,-2.095678566266801
2023-07-18,134.71,135.95,134.29,135.36,3852058,IBM,-0.08857395925596645
2023-07-17,133.26,134.61,133.1,134.24,3168419,IBM,-0.8274231678487065
2023-07-14,133.91,133.92,132.94,133.4,2861496,IBM,-0.6257449344457711
2023-07-13,133.51,135.07,133.36,133.92,3221422,IBM,0.3898050974512568
2023-07-12,135.07,135.33,132.575,132.84,3732189,IBM,-0.806451612903214
2023-07-11,133.66,134.56,133.23,134.44,2925238,IBM,1.2044564890093312
2023-07-10,131.76,133.05,131.695,132.9,2369425,IBM,-1.1454924129723265
2023-07-07,131.78,133.855,131.75,132.08,2982738,IBM,-0.6170052671181314
2023-07-06,133.235,133.9,131.55,132.16,3508083,IBM,0.06056935190792423
2023-07-05,133.32,134.31,132.59,134.24,2955870,IBM,1.57384987893463
2023-07-03,133.42,134.35,132.87,133.67,1477149,IBM,-0.42461263408821726
2023-06-30,134.69,135.03,133.425,133.81,4236677,IBM,0.10473554275456376
2023-06-29,131.75,134.35,131.69,134.06,3639836,IBM,0.18683207533070068
2023-06-28,132.06,132.17,130.91,131.76,2753779,IBM,-1.7156497090854872
2023-06-27,131.3,132.95,130.83,132.34,3219909,IBM,0.44019429265331755
2023-06-26,129.39,131.41,129.31,131.34,4845649,IBM,-0.7556294393229579
2023-06-23,130.4,130.62,129.18,129.43,11324705,IBM,-1.4542409014770774
2023-06-22,131.68,132.96,130.68,131.17,6013021,IBM,1.3443560225604445
2023-06-21,135.11,135.39,133.29,133.69,5501272,IBM,1.9211709994663595
2023-06-20,136.36,137.23,135.89,135.96,4272511,IBM,1.697957962450447
2023-06-16,139.23,139.469,137.47,137.48,7473676,IBM,1.1179758752574154
2023-06-15,137.27,138.8,137.175,138.4,3812582,IBM,0.6691882455630127
2023-06-14,137.8,138.93,136.94,137.2,4514888,IBM,-0.8670520231213952
2023-06-13,136.51,138.17,136.0,137.6,3927331,IBM,0.291545189504383
2023-06-12,136.0,136.62,135.8216,136.42,4500120,IBM,-0.8575581395348864
2023-06-09,134.36,136.1,134.17,135.3,3981748,IBM,-0.8209939891511309
2023-06-08,134.69,135.98,134.01,134.41,4128939,IBM,-0.6577974870657921
2023-06-07,132.5,134.44,132.19,134.38,5772024,IBM,-0.022319767874412477
2023-06-06,132.43,132.94,131.88,132.69,3297951,IBM,-1.2576276231582084
2023-06-05,133.12,133.58,132.27,132.64,3993516,IBM,-0.037681814756207466
2023-06-02,130.38,133.12,130.15,132.42,5375796,IBM,-0.16586248492158617
2023-06-01,128.44,130.145,127.78,129.82,4136086,IBM,-1.9634496299652526
2023-05-31,128.51,129.44,127.46,128.59,11086313,IBM,-0.9474657217685922
2023-05-30,129.56,130.0699,128.26,129.48,3741050,IBM,0.6921222490084755
2023-05-26,127.06,129.66,126.81,128.89,5612570,IBM,-0.45566882916280305
2023-05-25,125.61,127.23,125.01,126.76,4102854,IBM,-1.6525719605865352
2023-05-24,127.82,127.9,125.47,125.68,3915505,IBM,-0.8520037866834973
2023-05-23,127.24,129.09,127.13,128.18,4592280,IBM,1.9891788669637256
2023-05-22,127.5,128.19,127.15,127.5,2806770,IBM,-0.5305039787798504
2023-05-19,126.79,128.29,126.55,127.26,4306657,IBM,-0.1882352941176446
2023-05-18,125.3,126.51,125.1894,126.15,3797883,IBM,-0.8722300801508709
2023-05-17,123.94,125.85,123.47,125.71,4515134,IBM,-0.34879112168054727
2023-05-16,123.35,123.86,122.45,123.46,2749125,IBM,-1.7898337443321921
2023-05-15,123.0,123.6881,122.34,123.36,2915725,IBM,-0.08099789405474622
